#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM20000023MovedSensorPts
Date: 2022-08-04T23:38:42.809290Z
Institute: SFU
Operator: AR
Instrument Type: Smartscope Flash 302
Run Number: 1
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.2046	23.2154
H_R2H0_P2	124.2142	25.8696
PB_P1	81.8924	10.5146
PB_P2	122.3782	1.0969
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
ABC_R2H0_4_C	2	75.2045	20.4314	0.3999
ABC_R2H0_4_D	2	75.2506	22.9986	0.3998
ABC_R2H0_5	2	69.4658	21.6225	0.4028
ABC_R2H0_5_A	2	73.7799	22.9423	0.4048
ABC_R2H0_5_B	2	73.8898	20.3652	0.4062
ABC_R2H0_5_C	2	65.0580	20.3205	0.3932
ABC_R2H0_5_D	2	65.1356	22.8619	0.4070
ABC_R2H0_6	2	59.3422	21.6232	0.4017
ABC_R2H0_6_A	2	63.6825	22.8707	0.4063
ABC_R2H0_6_B	2	63.7423	20.2959	0.3981
ABC_R2H0_6_C	2	54.9119	20.3904	0.3991
ABC_R2H0_6_D	2	55.0320	22.9357	0.4034
ABC_R2H0_7	2	49.2051	21.7660	0.4030
ABC_R2H0_7_A	2	53.5621	22.9473	0.4047
ABC_R2H0_7_B	2	53.5773	20.3502	0.4077
ABC_R2H0_7_C	2	44.7534	20.6141	0.4053
ABC_R2H0_7_D	2	44.9274	23.1522	0.3943
ABC_R2H0_8	2	39.0738	22.0900	0.4048
ABC_R2H0_8_A	2	43.4554	23.1914	0.3968
ABC_R2H0_8_B	2	43.4255	20.6164	0.4056
ABC_R2H0_8_C	2	34.6058	21.0115	0.4084
ABC_R2H0_8_D	2	34.8084	23.5407	0.4082
ABC_R2H0_9	2	28.9511	22.5802	0.4099
ABC_R2H0_9_A	2	33.3491	23.6107	0.4095
ABC_R2H0_9_B	2	33.2701	21.0440	0.3985
ABC_R2H0_9_C	2	24.4681	21.5671	0.4222
ABC_R2H0_9_D	2	24.7172	24.0989	0.4094
HCC_R2H0_2	2	22.6059	7.0011	0.4340
HCC_R2H0_2_A	2	25.3907	9.4166	0.4139
HCC_R2H0_2_B	2	25.6909	4.7929	0.4348
HCC_R2H0_2_C	2	19.7239	4.6596	0.4537
HCC_R2H0_2_D	2	19.6181	9.1351	0.4334
HCC_R2H0_3	2	12.2235	11.6027	0.4338
HCC_R2H0_3_A	2	15.0198	14.0050	0.4170
HCC_R2H0_3_B	2	15.3089	9.4009	0.4411
HCC_R2H0_3_C	2	9.3254	9.2649	0.4450
HCC_R2H0_3_D	2	9.2398	13.7397	0.4320
H_R2H0_0	2	2.8905	10.6213	0.4254
H_R2H0_0_A	2	2.6106	8.2718	0.4363
H_R2H0_0_B	2	2.8505	9.7498	0.4302
H_R2H0_0_C	2	2.9273	10.9868	0.4259
H_R2H0_0_D	2	3.1737	13.4769	0.4092
H_R2H0_1	2	87.5120	12.8007	0.4661
H_R2H0_1_A	2	83.8935	12.6400	0.4620
H_R2H0_1_B	2	87.1303	12.7870	0.4740
H_R2H0_1_C	2	87.9076	12.8146	0.4763
H_R2H0_1_D	2	91.1167	12.9613	0.4522
H_R2H0_2	2	117.7949	16.3696	0.4299
H_R2H0_2_A	2	115.0081	15.9730	0.4414
H_R2H0_2_B	2	115.6118	16.7320	0.4309
H_R2H0_2_C	2	119.9764	16.0039	0.4300
H_R2H0_2_D	2	120.5834	16.7696	0.4174
PB_1	2	123.4726	5.6652	0.4510
PB_1_A	2	123.5976	1.4253	0.5283
PB_1_B	2	123.5919	1.4331	0.5288
PB_1_C	2	123.2639	7.0929	0.4459
PB_1_D	2	123.4372	12.7095	0.3009
PB_2	2	109.6847	11.8171	0.2982
PB_3	2	87.1088	10.4291	0.4989
PB_3_A	2	83.2158	10.1663	0.5054
PB_3_B	2	86.7288	10.4511	0.5203
PB_3_C	2	87.6826	10.4872	0.5099
PB_3_D	2	90.8077	10.6117	0.4602
PB_4	2	85.8733	1.3813	0.5833
PB_4_A	2	86.9750	3.9512	0.5589
PB_4_B	2	87.4101	-1.0182	0.5924
PB_4_C	2	84.6639	-1.1932	0.5911
PB_4_D	2	84.4441	3.7853	0.5907
PB_5	2	60.2912	2.8886	0.5394
#---Other heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
C1	4	118.1058	5.7775	2.9300
C2	4	117.8809	9.2524	2.8637
C3	4	104.0030	10.0107	2.9162
C4	4	104.4889	1.4800	3.0183
Shield_A	4	63.1650	-1.4157	5.6950
Shield_B	4	68.5393	-0.9536	5.6504
Shield_C	4	76.5606	-0.8345	5.7400
Shield_D	4	63.0895	5.5443	5.6305
Shield_E	4	72.1035	5.7271	5.4527
Shield_F	4	76.5992	5.2818	5.5648
